0 , 3 , 12 , 21 , 0 , 0 , 21
20 , 3 , 12 , 161 , 0 , 0 , 161
40 , 3 , 12 , 281 , 0 , 0 , 281
60 , 3 , 12 , 321 , 0 , 0 , 321
80 , 3 , 12 , 351 , 0 , 0 , 351
100 , 3 , 12 , 111 , 1 , 0 , 211
120 , 3 , 12 , 161 , 1 , 0 , 261
140 , 3 , 12 , 561 , 1 , 0 , 661
160 , 3 , 12 , 861 , 1 , 0 , 961
180 , 3 , 12 , 1001 , 1 , 0 , 1101
200 , 3 , 12 , 1031 , 1 , 0 , 1131
220 , 3 , 12 , 1161 , 1 , 0 , 1261
240 , 3 , 12 , 1351 , 1 , 0 , 1451
260 , 3 , 12 , 1651 , 1 , 0 , 1751
280 , 3 , 12 , 2071 , 1 , 0 , 2171
300 , 3 , 12 , 2471 , 1 , 0 , 2571
320 , 3 , 12 , 2841 , 1 , 0 , 2941
340 , 3 , 12 , 2961 , 1 , 0 , 3061
360 , 3 , 12 , 3211 , 1 , 0 , 3311
380 , 3 , 12 , 3501 , 1 , 0 , 3601
400 , 3 , 12 , 3551 , 1 , 0 , 3651
420 , 3 , 12 , 3571 , 1 , 0 , 3671
440 , 3 , 12 , 3591 , 1 , 0 , 3691
460 , 3 , 12 , 3801 , 1 , 0 , 3901
480 , 3 , 12 , 3961 , 1 , 0 , 4061
500 , 3 , 12 , 4431 , 1 , 1 , 4556
520 , 3 , 12 , 5481 , 1 , 1 , 5606
540 , 3 , 12 , 6501 , 1 , 1 , 6626
560 , 3 , 12 , 7366 , 1 , 1 , 7491
580 , 3 , 12 , 8386 , 1 , 2 , 8536
600 , 3 , 12 , 8926 , 1 , 2 , 9076
620 , 3 , 12 , 9246 , 1 , 2 , 9396
640 , 3 , 12 , 10156 , 1 , 3 , 10331
660 , 3 , 12 , 11566 , 1 , 3 , 11741
680 , 3 , 12 , 12316 , 1 , 3 , 12491
700 , 3 , 12 , 13116 , 1 , 3 , 13291
720 , 3 , 12 , 14086 , 1 , 3 , 14261
740 , 3 , 12 , 15136 , 1 , 3 , 15311
760 , 3 , 12 , 15766 , 1 , 3 , 15941
780 , 3 , 12 , 16416 , 1 , 3 , 16591
800 , 3 , 12 , 16796 , 1 , 3 , 16971
820 , 3 , 12 , 17556 , 1 , 3 , 17731
840 , 3 , 12 , 18166 , 1 , 4 , 18366
860 , 3 , 12 , 18616 , 1 , 4 , 18816
880 , 3 , 12 , 19566 , 1 , 5 , 19791
900 , 3 , 12 , 20396 , 1 , 5 , 20621
920 , 3 , 12 , 21491 , 1 , 5 , 21716
940 , 3 , 12 , 22646 , 1 , 5 , 22871
960 , 3 , 12 , 23476 , 1 , 5 , 23701
980 , 3 , 12 , 24801 , 1 , 5 , 25026
1000 , 3 , 12 , 25931 , 1 , 5 , 26156
1020 , 3 , 12 , 26721 , 1 , 5 , 26946
1040 , 3 , 12 , 28406 , 1 , 5 , 28631
1060 , 3 , 12 , 29691 , 1 , 5 , 29916
1080 , 3 , 12 , 30996 , 1 , 5 , 31221
1100 , 3 , 12 , 32121 , 1 , 5 , 32346
1120 , 3 , 12 , 33771 , 1 , 5 , 33996
1140 , 3 , 12 , 34871 , 1 , 5 , 35096
1160 , 3 , 12 , 35421 , 1 , 5 , 35646
1180 , 3 , 12 , 37176 , 1 , 5 , 37401
1200 , 3 , 12 , 38661 , 1 , 5 , 38886
1220 , 3 , 12 , 40031 , 1 , 5 , 40256
1240 , 3 , 12 , 41156 , 1 , 5 , 41381
1260 , 3 , 12 , 41921 , 1 , 5 , 42146
1280 , 3 , 12 , 43701 , 1 , 5 , 43926
1300 , 3 , 12 , 44896 , 1 , 5 , 45121
1320 , 3 , 12 , 45091 , 2 , 5 , 45416
1340 , 3 , 12 , 46261 , 2 , 5 , 46586
1360 , 3 , 12 , 47946 , 2 , 6 , 48296
1380 , 3 , 12 , 49441 , 2 , 6 , 49791
1400 , 3 , 12 , 50781 , 2 , 6 , 51131
1420 , 3 , 12 , 51721 , 2 , 6 , 52071
1440 , 3 , 12 , 53246 , 2 , 7 , 53621
1460 , 3 , 12 , 55156 , 2 , 7 , 55531
1480 , 3 , 12 , 56916 , 2 , 7 , 57291
1500 , 3 , 12 , 58791 , 2 , 7 , 59166
1520 , 3 , 12 , 60381 , 2 , 7 , 60756
1540 , 3 , 12 , 61321 , 2 , 7 , 61696
1560 , 3 , 12 , 62131 , 2 , 7 , 62506
1580 , 3 , 12 , 63196 , 2 , 7 , 63571
1600 , 3 , 12 , 63851 , 2 , 7 , 64226
1620 , 3 , 12 , 64646 , 2 , 7 , 65021
1640 , 3 , 12 , 65911 , 2 , 8 , 66311
1660 , 3 , 12 , 68041 , 2 , 8 , 68441
1680 , 3 , 12 , 70346 , 2 , 8 , 70746
1700 , 3 , 12 , 72411 , 2 , 8 , 72811
1720 , 3 , 12 , 74576 , 2 , 8 , 74976
1740 , 3 , 12 , 76771 , 2 , 9 , 77196
1760 , 3 , 12 , 77646 , 2 , 9 , 78071
1780 , 3 , 12 , 80046 , 2 , 9 , 80471
1800 , 3 , 12 , 82866 , 2 , 9 , 83291
1820 , 3 , 12 , 81741 , 2 , 9 , 82166
1840 , 3 , 12 , 82501 , 2 , 9 , 82926
1860 , 3 , 12 , 85106 , 2 , 9 , 85531
1880 , 3 , 12 , 87361 , 2 , 9 , 87786
1900 , 3 , 12 , 89471 , 2 , 9 , 89896
1920 , 3 , 12 , 91811 , 2 , 9 , 92236
1940 , 3 , 12 , 94361 , 2 , 9 , 94786
1960 , 3 , 12 , 96591 , 2 , 9 , 97016
1980 , 3 , 12 , 95831 , 2 , 9 , 96256
2000 , 3 , 12 , 98681 , 2 , 9 , 99106
2020 , 3 , 12 , 97071 , 3 , 9 , 97596
2040 , 3 , 12 , 97406 , 3 , 9 , 97931
2060 , 3 , 12 , 97851 , 3 , 10 , 98401
2080 , 3 , 12 , 98186 , 3 , 10 , 98736
2100 , 3 , 12 , 98791 , 3 , 10 , 99341
2120 , 3 , 12 , 99786 , 3 , 10 , 100336
2140 , 3 , 12 , 100421 , 3 , 10 , 100971
2160 , 3 , 12 , 100771 , 3 , 10 , 101321
2180 , 3 , 12 , 101691 , 3 , 10 , 102241
2200 , 3 , 12 , 102671 , 3 , 10 , 103221
2220 , 3 , 12 , 103086 , 3 , 11 , 103661
2240 , 3 , 12 , 103966 , 3 , 12 , 104566
2260 , 3 , 12 , 104811 , 3 , 12 , 105411
2280 , 3 , 12 , 106106 , 3 , 12 , 106706
2300 , 3 , 12 , 107191 , 3 , 12 , 107791
2320 , 3 , 12 , 108111 , 3 , 12 , 108711
2340 , 3 , 12 , 108941 , 3 , 12 , 109541
2360 , 3 , 12 , 110116 , 3 , 12 , 110716
2380 , 3 , 12 , 111236 , 3 , 13 , 111861
2400 , 3 , 12 , 112771 , 3 , 13 , 113396
2420 , 3 , 12 , 111416 , 4 , 13 , 112141
2440 , 3 , 12 , 113751 , 4 , 14 , 114501
2460 , 3 , 12 , 115841 , 4 , 14 , 116591
2480 , 3 , 12 , 117046 , 4 , 14 , 117796
2500 , 3 , 12 , 117996 , 4 , 14 , 118746
2520 , 3 , 12 , 119291 , 4 , 14 , 120041
2540 , 3 , 12 , 120976 , 4 , 14 , 121726
2560 , 3 , 12 , 123141 , 4 , 14 , 123891
2580 , 3 , 12 , 125311 , 4 , 15 , 126086
2600 , 3 , 12 , 126936 , 4 , 15 , 127711
2620 , 3 , 12 , 127681 , 4 , 16 , 128481
2640 , 3 , 12 , 129111 , 4 , 16 , 129911
2660 , 3 , 12 , 131281 , 4 , 17 , 132106
2680 , 3 , 12 , 129656 , 5 , 17 , 130581
2700 , 3 , 12 , 131326 , 5 , 17 , 132251
2720 , 3 , 12 , 132981 , 5 , 17 , 133906
2740 , 3 , 12 , 134576 , 5 , 17 , 135501
2760 , 3 , 12 , 136246 , 5 , 17 , 137171
2780 , 3 , 12 , 137331 , 5 , 17 , 138256
2800 , 3 , 12 , 139496 , 5 , 17 , 140421
2820 , 3 , 12 , 141646 , 5 , 17 , 142571
2840 , 3 , 12 , 143391 , 5 , 17 , 144316
2860 , 3 , 12 , 145001 , 5 , 17 , 145926
2880 , 3 , 12 , 147181 , 5 , 17 , 148106
2900 , 3 , 12 , 149736 , 5 , 17 , 150661
2920 , 3 , 12 , 151981 , 5 , 18 , 152931
2940 , 3 , 12 , 153801 , 5 , 18 , 154751
2960 , 3 , 12 , 155711 , 5 , 18 , 156661
2980 , 3 , 12 , 158361 , 5 , 19 , 159336
3000 , 3 , 12 , 159986 , 5 , 19 , 160961
3020 , 3 , 12 , 161686 , 5 , 19 , 162661
3040 , 3 , 12 , 164286 , 5 , 19 , 165261
3060 , 3 , 12 , 166826 , 5 , 19 , 167801
3080 , 3 , 12 , 169481 , 5 , 20 , 170481
3100 , 3 , 12 , 172156 , 5 , 20 , 173156
3120 , 3 , 12 , 175526 , 5 , 20 , 176526
3140 , 3 , 12 , 178526 , 5 , 20 , 179526
3160 , 3 , 12 , 180691 , 5 , 20 , 181691
3180 , 3 , 12 , 183431 , 5 , 20 , 184431
3200 , 3 , 12 , 185901 , 5 , 20 , 186901
3220 , 3 , 12 , 188376 , 5 , 21 , 189401
3240 , 3 , 12 , 191481 , 5 , 21 , 192506
3260 , 3 , 12 , 190391 , 5 , 21 , 191416
3280 , 3 , 12 , 188611 , 5 , 21 , 189636
3300 , 3 , 12 , 190791 , 5 , 21 , 191816
3320 , 3 , 12 , 194411 , 5 , 21 , 195436
3340 , 3 , 12 , 197871 , 5 , 21 , 198896
3360 , 3 , 12 , 201576 , 5 , 21 , 202601
3380 , 3 , 12 , 205406 , 5 , 21 , 206431
3400 , 3 , 12 , 208966 , 5 , 21 , 209991
3420 , 3 , 12 , 208616 , 6 , 21 , 209741
3440 , 3 , 12 , 211981 , 6 , 21 , 213106
3460 , 3 , 12 , 215951 , 6 , 21 , 217076
3480 , 3 , 12 , 219631 , 6 , 21 , 220756
3500 , 3 , 12 , 223196 , 6 , 21 , 224321
3520 , 3 , 12 , 226271 , 6 , 21 , 227396
3540 , 3 , 12 , 228491 , 6 , 23 , 229666
3560 , 3 , 12 , 230421 , 6 , 23 , 231596
3580 , 3 , 12 , 233336 , 6 , 23 , 234511
3600 , 3 , 12 , 236591 , 6 , 23 , 237766
3620 , 3 , 12 , 239236 , 6 , 23 , 240411
3640 , 3 , 12 , 243176 , 6 , 23 , 244351
3660 , 3 , 12 , 246526 , 6 , 23 , 247701
3680 , 3 , 12 , 249816 , 6 , 23 , 250991
3700 , 3 , 12 , 252741 , 6 , 23 , 253916
3720 , 3 , 12 , 255626 , 6 , 23 , 256801
3740 , 3 , 12 , 258236 , 6 , 23 , 259411
3760 , 3 , 12 , 260651 , 6 , 23 , 261826
3780 , 3 , 12 , 263801 , 6 , 23 , 264976
3800 , 3 , 12 , 267616 , 6 , 23 , 268791













